occupancy_type,loan_amount,action_taken,state_code,county_code,applicant_race_1,applicant_sex,applicant_age,income,applicant_credit_scoring_model,debt_to_income_ratio,loan_term,interest_only_payment,property_value,target
1,805000,1,CA,06013,5,2,>74,190,1,41,360,2,1685000,1
1,505000,1,SC,45019,5,2,55-64,362,1,30%-<36%,360,2,625000,1
1,675000,1,NJ,34003,5,1,35-44,209,2,41,360,2,845000,1
3,745000,1,VT,50025,5,1,35-44,319,2,41,360,1,1355000,1
2,415000,3,FL,12115,5,1,55-64,187,1,>60%,360,2,555000,0
1,3955000,1,NJ,34025,5,1,55-64,2309,2,30%-<36%,360,1,5955000,1
1,955000,1,NJ,34025,5,1,25-34,227,3,30%-<36%,360,2,1325000,1
1,2165000,1,CA,06037,5,1,35-44,791,2,50%-60%,360,1,2805000,1
2,5255000,1,MT,30031,5,1,55-64,1611,1,47,360,1,5255000,1
1,415000,1,IL,17031,5,1,>74,659,1,<20%,360,2,635000,1
1,515000,1,VA,51107,5,2,65-74,120,3,46,360,2,945000,1
3,305000,1,FL,12021,5,2,45-54,375,1,49,360,1,585000,1
1,1505000,1,OR,41067,5,1,55-64,558,2,44,360,2,3005000,1
2,755000,1,FL,12131,5,1,45-54,2812,3,<20%,360,2,1015000,1
1,605000,3,AZ,04013,5,1,25-34,165,2,50%-60%,360,2,1055000,0
1,515000,1,GA,13051,5,2,55-64,143,2,38,360,2,545000,1
1,755000,1,NY,36103,5,2,>74,713,1,49,360,2,4105000,1
1,865000,1,NJ,34017,2,2,35-44,,1,37,360,2,1085000,1
1,635000,1,VA,51153,5,1,45-54,,3,30%-<36%,360,1,855000,1
2,1205000,1,DE,10005,5,2,65-74,1566,3,<20%,360,2,2205000,1
1,545000,1,GA,13121,5,1,25-34,160,1,30%-<36%,360,2,605000,1
2,515000,1,FL,12103,5,2,55-64,425,2,20%-<30%,360,1,605000,1
1,545000,1,CA,06073,5,1,25-34,126,1,39,360,2,725000,1
1,805000,1,VA,51510,5,1,25-34,,1,36,360,2,1005000,1
1,515000,1,PA,42091,5,1,45-54,400,1,20%-<30%,180,2,775000,1
1,955000,1,VA,51510,5,1,35-44,236,2,39,360,2,1555000,1
1,295000,1,GA,13047,5,1,25-34,100,1,30%-<36%,360,2,505000,1
1,555000,1,WI,55079,5,2,25-34,283,1,<20%,360,2,695000,1
2,525000,1,NY,36013,5,1,55-64,155,3,43,360,2,875000,1
1,525000,1,IN,18097,5,2,55-64,229,1,30%-<36%,360,2,525000,1
1,515000,1,MA,25027,2,1,25-34,,3,20%-<30%,360,2,595000,1
1,1055000,1,IL,17043,5,1,45-54,,2,20%-<30%,360,2,1855000,1
1,645000,1,IL,17031,5,2,35-44,480,3,20%-<30%,360,1,925000,1
1,1575000,1,CA,06037,5,1,35-44,,3,41,360,1,2105000,1
1,565000,1,AL,01089,5,1,45-54,218,3,40,360,1,565000,1
1,1155000,1,OR,41051,5,2,55-64,551,1,43,360,2,2095000,1
1,525000,1,CO,08069,5,2,65-74,341,1,30%-<36%,360,1,665000,1
1,695000,1,CA,06061,5,1,55-64,236,1,20%-<30%,360,2,1175000,1
1,615000,1,IL,17097,2,1,45-54,430,1,20%-<30%,360,2,765000,1
1,1995000,1,NC,37179,5,1,35-44,4903,1,<20%,360,2,3605000,1
1,3525000,3,FL,12086,5,1,35-44,964,2,36,360,2,4705000,0
1,705000,1,WA,53033,5,1,25-34,191,3,37,360,2,2285000,1
1,555000,1,NJ,34003,5,1,25-34,254,2,20%-<30%,360,2,695000,1
1,655000,1,AZ,04021,5,1,55-64,224,3,38,360,2,975000,1
1,705000,1,FL,12099,5,1,65-74,297,1,37,360,2,1605000,1
1,715000,1,MA,25023,5,1,25-34,198,3,42,360,2,955000,1
2,1405000,1,HI,15003,5,1,55-64,395,2,44,360,2,1875000,1
1,585000,1,MA,25025,5,1,25-34,175,3,20%-<30%,360,2,645000,1
1,1505000,1,CA,06081,2,1,25-34,436,3,38,360,2,2005000,1
1,515000,3,GA,13067,5,1,55-64,125,3,>60%,360,2,695000,0
1,555000,1,WA,53035,5,1,55-64,415,3,<20%,360,1,3225000,1
1,225000,1,NC,37063,5,1,>74,119,2,30%-<36%,360,2,695000,1
1,515000,1,CA,06037,5,2,55-64,128,1,42,360,1,1195000,1
2,1905000,3,FL,12131,5,1,65-74,161,1,>60%,360,2,8405000,0
1,1205000,1,CA,06013,5,1,35-44,460,2,46,360,2,4255000,1
1,515000,1,AL,01097,5,1,35-44,295,3,<20%,360,2,775000,1
3,605000,3,NY,36061,5,1,>74,69,3,>60%,360,2,2205000,0
2,3025000,1,AZ,04013,5,1,65-74,3515,3,<20%,360,1,4655000,1
1,875000,1,AL,01003,5,1,45-54,295,3,45,360,2,1375000,1
1,675000,1,TX,48453,5,2,45-54,291,3,30%-<36%,360,2,1635000,1
1,525000,1,AZ,04019,5,1,45-54,355,3,20%-<30%,360,1,2435000,1
1,1855000,1,CA,06059,5,1,45-54,1521,3,<20%,360,2,2325000,1
1,925000,1,VA,51059,2,1,45-54,300,2,30%-<36%,360,2,1155000,1
1,1555000,1,CT,09009,5,1,55-64,610,1,30%-<36%,360,1,1945000,1
1,545000,1,TN,47093,5,2,45-54,128,1,46,360,2,975000,1
1,345000,1,FL,12115,5,2,65-74,133,3,48,360,2,435000,1
1,525000,1,NC,37081,5,1,45-54,300,9,30%-<36%,360,2,665000,1
1,605000,1,NY,36061,2,2,25-34,,3,30%-<36%,360,2,1215000,1
1,635000,1,TX,48091,5,1,55-64,199,1,30%-<36%,360,2,895000,1
1,515000,1,FL,12021,5,2,65-74,136,1,38,360,2,615000,1
1,515000,1,FL,12095,5,1,65-74,134,1,38,360,2,835000,1
1,645000,1,TX,48121,2,2,25-34,189,2,39,360,2,805000,1
1,515000,1,CA,06079,5,2,65-74,149,2,48,360,2,1405000,1
1,575000,1,NJ,34031,5,1,25-34,207,3,30%-<36%,360,2,825000,1
3,265000,3,CA,06111,5,1,35-44,297,1,46,360,1,475000,0
3,265000,3,CA,06111,5,2,35-44,297,1,46,360,1,475000,0
1,595000,1,AL,01125,5,1,45-54,122,3,42,360,2,1195000,1
1,625000,1,FL,12099,5,1,65-74,151,3,44,360,2,1595000,1
1,2005000,1,CO,08013,5,1,45-54,849,3,48,360,1,5655000,1
1,605000,1,NC,37129,5,2,55-64,199,2,42,360,1,755000,1
1,895000,1,DC,11001,5,1,55-64,553,3,20%-<30%,360,1,1865000,1
1,155000,1,DC,11001,5,1,25-34,105,1,20%-<30%,360,2,475000,1
1,795000,3,MA,25017,5,1,>74,183,3,>60%,360,1,2875000,0
1,1005000,1,NV,32003,5,1,25-34,342,3,44,360,2,1335000,1
1,245000,1,NC,37019,5,1,55-64,125,1,30%-<36%,180,2,535000,1
2,1305000,1,CA,06065,5,1,55-64,354,1,50%-60%,360,2,2255000,1
1,515000,1,RI,44009,5,1,35-44,258,1,42,180,2,825000,1
1,205000,1,IN,18127,5,1,65-74,61,1,39,360,2,225000,1
1,585000,1,TN,47037,5,2,25-34,112,1,48,360,2,625000,1
1,375000,1,AZ,04013,5,1,25-34,101,1,30%-<36%,360,2,425000,1
1,365000,1,NC,37063,5,1,25-34,103,2,44,360,2,465000,1
1,715000,1,DC,11001,5,2,25-34,268,3,30%-<36%,360,2,885000,1
2,755000,1,FL,12131,5,2,55-64,261,1,39,360,2,1005000,1
2,1155000,1,FL,12099,5,1,55-64,608,2,20%-<30%,360,2,1835000,1
1,245000,1,MT,30111,5,1,55-64,228,3,<20%,360,2,535000,1
2,285000,3,IL,17031,5,2,55-64,666,2,20%-<30%,360,2,975000,0
1,1555000,1,FL,12086,5,1,35-44,416,3,49,360,2,2355000,1
1,765000,1,NV,32003,2,1,35-44,290,3,30%-<36%,360,2,1015000,1
1,755000,1,CA,06083,5,1,55-64,256,2,30%-<36%,360,2,1325000,1
1,525000,1,MA,25009,5,2,25-34,144,2,44,360,2,665000,1
2,485000,3,FL,12086,5,1,35-44,194,1,30%-<36%,360,2,655000,0
1,1765000,1,GA,13121,5,2,35-44,1076,2,30%-<36%,360,2,2205000,1
1,515000,3,PA,42095,5,1,25-34,244,3,39,360,2,495000,0
1,1705000,1,CA,06037,5,1,65-74,810,3,42,360,1,6605000,1
1,695000,1,TX,48215,5,2,35-44,197,2,37,360,2,1405000,1
1,625000,1,FL,12031,5,1,45-54,212,1,30%-<36%,360,2,795000,1
1,555000,1,VA,51059,5,1,65-74,255,3,20%-<30%,360,1,835000,1
1,915000,1,CO,08035,5,1,65-74,305,3,30%-<36%,360,2,1555000,1
1,405000,1,IL,17031,5,2,25-34,115,2,37,360,2,505000,1
1,2505000,1,AZ,04013,5,1,45-54,1308,1,20%-<30%,360,2,3665000,1
1,705000,3,ME,23017,5,1,45-54,375,2,46,360,2,635000,0
3,605000,1,MT,30029,5,1,45-54,311,2,42,360,2,855000,1
1,435000,1,CA,06037,5,1,45-54,467,3,30%-<36%,300,1,2505000,1
2,865000,1,GA,13281,5,2,55-64,578,2,30%-<36%,360,2,1155000,1
2,2085000,1,UT,49043,5,1,55-64,2265,3,<20%,360,1,3205000,1
1,255000,1,TN,47187,5,1,45-54,378,1,<20%,360,2,505000,1
1,2505000,1,NY,36061,5,2,25-34,1027,3,39,360,1,7255000,1
1,325000,1,KS,20091,5,1,25-34,247,1,<20%,360,2,405000,1
3,405000,1,FL,12086,5,1,45-54,1995,1,<20%,360,1,415000,1
1,715000,1,NJ,34003,5,1,35-44,,1,<20%,360,2,1025000,1
1,605000,1,NY,36061,2,1,35-44,,3,20%-<30%,360,2,755000,1
1,515000,1,CA,06075,5,2,45-54,192,3,30%-<36%,360,2,1675000,1
1,615000,1,TX,48423,5,2,55-64,214,1,30%-<36%,360,2,615000,1
2,935000,1,MD,24047,5,1,55-64,769,1,36,360,2,1245000,1
2,165000,1,LA,22033,5,1,55-64,,1,<20%,360,1,225000,1
1,5965000,1,TX,48113,5,1,35-44,2479,2,41,360,2,7465000,1
2,1285000,1,CA,06065,5,2,65-74,681,3,20%-<30%,360,1,1285000,1
1,2505000,3,TX,48113,5,1,25-34,588,3,47,360,2,3875000,0
1,755000,1,NH,33013,5,1,55-64,396,3,40,360,1,1095000,1
1,225000,1,FL,12009,5,2,>74,52,3,47,360,2,465000,1
1,555000,1,VT,50007,5,2,35-44,,1,41,360,2,695000,1
1,565000,1,FL,12111,5,2,55-64,510,1,20%-<30%,180,2,1165000,1
1,755000,1,FL,12115,5,1,65-74,750,3,30%-<36%,360,2,4405000,1
1,205000,1,TX,48299,5,2,65-74,162,3,20%-<30%,180,2,785000,1
2,645000,1,FL,12021,5,1,45-54,,3,<20%,360,2,855000,1
1,1045000,1,TX,48201,5,1,45-54,358,1,38,360,2,1305000,1
1,735000,1,FL,12086,5,1,55-64,361,2,40,360,1,975000,1
1,515000,1,PA,42017,5,2,25-34,125,2,41,360,2,545000,1
1,415000,3,CA,06059,5,1,45-54,42,1,>60%,300,1,5605000,0
1,515000,1,CO,08069,5,2,65-74,257,3,30%-<36%,360,1,885000,1
1,755000,1,MD,24003,5,1,45-54,335,2,40,360,1,1535000,1
1,515000,1,GA,13227,5,2,65-74,125,1,44,360,2,695000,1
1,635000,1,FL,12057,5,1,25-34,264,3,39,360,2,795000,1
3,195000,1,AZ,04013,5,1,25-34,748,1,30%-<36%,360,2,345000,1
1,265000,3,NJ,34023,2,2,35-44,56,2,>60%,360,2,465000,0
2,1205000,1,NY,36103,5,1,55-64,877,1,20%-<30%,360,2,11505000,1
1,765000,1,SC,45019,5,1,35-44,235,1,20%-<30%,360,2,955000,1
1,865000,1,CO,08035,5,2,45-54,230,2,44,360,2,1665000,1
1,555000,1,AZ,04013,5,1,25-34,146,3,44,360,2,1175000,1
1,705000,1,NC,37119,5,2,25-34,233,3,30%-<36%,360,2,875000,1
2,515000,1,FL,12021,5,1,55-64,294,2,38,360,1,845000,1
1,125000,1,LA,22007,5,1,55-64,107,1,30%-<36%,360,2,155000,1
1,515000,1,WA,53057,5,2,<25,95,3,40,360,2,735000,1
1,515000,1,CA,06097,5,1,35-44,157,2,44,360,2,625000,1
3,155000,1,ID,16001,5,2,65-74,248,3,<20%,180,2,385000,1
1,1405000,3,NV,32003,5,1,55-64,,3,44,360,2,2005000,0
2,515000,1,VA,51103,5,2,55-64,507,2,20%-<30%,360,2,635000,1
1,1445000,1,TX,48029,5,2,55-64,635,3,30%-<36%,360,2,1805000,1
1,545000,1,FL,12103,5,1,65-74,255,1,30%-<36%,360,1,675000,1
1,1765000,1,NJ,34025,5,1,35-44,1818,1,46,360,2,2205000,1
1,3435000,1,CA,06085,5,1,55-64,1311,2,30%-<36%,360,1,4935000,1
